task_id,assigned_vm,confidence
unknown,0,0.12678231298923492
unknown,0,0.11891395598649979
unknown,0,0.12310787290334702
unknown,0,0.24106165766716003
unknown,0,0.7636805176734924
unknown,0,0.12537381052970886
unknown,0,0.123802050948143
unknown,0,0.14097969233989716
unknown,0,0.12458628416061401
unknown,0,0.1355498731136322
unknown,0,0.5808441638946533
unknown,0,0.19405773282051086
unknown,0,0.2569297254085541
unknown,0,0.13044029474258423
unknown,0,1.0
unknown,0,0.12155566364526749
unknown,0,0.968985378742218
unknown,0,0.1331612765789032
unknown,0,0.25731921195983887
unknown,0,0.2351667284965515
unknown,0,0.12528617680072784
unknown,0,0.12406311929225922
unknown,0,0.5490705966949463
unknown,0,0.2108735889196396
unknown,0,0.3052579462528229
unknown,0,0.21193821728229523
unknown,0,0.1745101809501648
unknown,0,1.0
unknown,0,0.2784346640110016
unknown,0,0.17117241024971008
unknown,0,0.11723089963197708
unknown,0,0.17332147061824799
unknown,0,1.0
unknown,0,0.12731324136257172
unknown,0,0.23616547882556915
unknown,0,0.19164954125881195
unknown,0,0.12189940363168716
unknown,0,0.17494359612464905
unknown,0,0.1272246539592743
unknown,0,0.1195918396115303
unknown,0,0.24169279634952545
unknown,0,0.7988361716270447
unknown,0,0.11950697004795074
unknown,0,0.11984674632549286
unknown,0,0.11773406714200974
unknown,0,0.1258128136396408
unknown,0,0.11899854242801666
unknown,0,0.17149382829666138
unknown,0,0.7235158681869507
unknown,0,0.12687070667743683
unknown,0,0.12044297903776169
unknown,0,1.0
unknown,0,0.9317399859428406
unknown,0,0.11874490976333618
unknown,0,0.9962509274482727
unknown,0,0.12687070667743683
unknown,0,0.1201871857047081
unknown,0,0.9893247485160828
unknown,0,0.33111193776130676
unknown,0,0.12476099282503128
unknown,0,0.12138399481773376
unknown,0,0.12035766988992691
unknown,0,0.12864713370800018
unknown,0,0.146646648645401
unknown,0,0.9998194575309753
unknown,0,0.12678231298923492
unknown,0,0.1344439536333084
unknown,8,0.11585632711648941
unknown,0,0.9971045851707458
unknown,0,0.1330699622631073
unknown,0,0.13703377544879913
unknown,0,0.13806015253067017
unknown,0,0.5311765670776367
unknown,0,0.572632372379303
unknown,0,0.999605119228363
unknown,0,0.23392143845558167
unknown,0,0.14022240042686462
unknown,0,0.1272246539592743
unknown,0,0.5697880983352661
unknown,0,0.20267432928085327
unknown,0,0.9992063641548157
unknown,0,0.1314336210489273
