name,cpu_milli,memory_mib,num_gpu,gpu_milli,gpu_spec,qos,pod_phase,creation_time,deletion_time,scheduled_time,source_file
openb-pod-4773,4000,24576,1,1000,,LS,Succeeded,11888766,11892818,11888766.0,openb_pod_list_gpuspec33.csv
openb-pod-4774,4000,22888,1,330,,BE,Running,11889815,11899478,11889815.0,openb_pod_list_gpuspec33.csv
openb-pod-4775,4000,22888,1,330,,BE,Running,11889815,11945561,11889815.0,openb_pod_list_gpuspec33.csv
openb-pod-4776,4000,15258,1,230,,BE,Running,11892119,11892493,11892119.0,openb_pod_list_gpuspec33.csv
openb-pod-4777,8000,30517,0,0,,BE,Running,11892845,11896383,11892845.0,openb_pod_list_gpuspec33.csv
openb-pod-4778,3152,5600,1,810,,BE,Failed,11893941,11894034,11893941.0,openb_pod_list_gpuspec33.csv
openb-pod-4779,11300,49152,1,1000,T4,LS,Running,11894420,11894659,11894423.0,openb_pod_list_gpuspec33.csv
openb-pod-4780,3152,5600,1,810,,BE,Failed,11894543,11895719,11894543.0,openb_pod_list_gpuspec33.csv
openb-pod-4781,8000,30517,1,470,,BE,Running,11896384,11896602,11896417.0,openb_pod_list_gpuspec33.csv
openb-pod-4782,3152,5600,1,810,,BE,Failed,11897695,11898627,11897695.0,openb_pod_list_gpuspec33.csv
openb-pod-4783,16400,125952,1,1000,,LS,Running,11897893,11898250,11897894.0,openb_pod_list_gpuspec33.csv
openb-pod-4784,11908,47104,1,470,T4,LS,Running,11898242,11898754,11898243.0,openb_pod_list_gpuspec33.csv
openb-pod-4785,4000,22888,1,220,,BE,Running,11898246,11910098,11898246.0,openb_pod_list_gpuspec33.csv
openb-pod-4786,8000,30517,1,470,,BE,Running,11898490,11900838,11898490.0,openb_pod_list_gpuspec33.csv
openb-pod-4787,3152,5600,1,590,,BE,Failed,11899691,11900816,11899691.0,openb_pod_list_gpuspec33.csv
openb-pod-4788,11300,49152,1,1000,T4,LS,Running,11900666,11903017,11900701.0,openb_pod_list_gpuspec33.csv
openb-pod-4789,3152,5600,1,810,,BE,Failed,11901562,11904723,11901562.0,openb_pod_list_gpuspec33.csv
openb-pod-4790,8000,30517,1,470,,BE,Pending,11902347,11902468,,openb_pod_list_gpuspec33.csv
openb-pod-4791,8000,30517,1,470,,BE,Running,11902717,11903122,11902817.0,openb_pod_list_gpuspec33.csv
openb-pod-4792,4000,15258,1,160,,BE,Running,11902742,11902803,11902749.0,openb_pod_list_gpuspec33.csv
openb-pod-4793,4000,15258,1,160,T4,BE,Pending,11902742,11902803,,openb_pod_list_gpuspec33.csv
openb-pod-4794,8000,30517,1,470,T4,BE,Running,11902849,11903065,11902849.0,openb_pod_list_gpuspec33.csv
openb-pod-4795,8000,30517,1,650,,BE,Running,11903021,11905141,11903021.0,openb_pod_list_gpuspec33.csv
openb-pod-4796,4000,15258,1,160,,BE,Running,11903040,11910437,11903045.0,openb_pod_list_gpuspec33.csv
openb-pod-4797,4000,31250,1,1000,,LS,Running,11903655,11907123,11903655.0,openb_pod_list_gpuspec33.csv
openb-pod-4798,11300,49152,1,1000,,LS,Running,11903885,11904189,11903887.0,openb_pod_list_gpuspec33.csv
openb-pod-4799,18708,64512,1,1000,,LS,Running,11904064,11905330,11904102.0,openb_pod_list_gpuspec33.csv
openb-pod-4800,8000,30517,1,470,T4,BE,Pending,11904268,11906348,,openb_pod_list_gpuspec33.csv
openb-pod-4801,11300,49152,1,1000,,LS,Running,11904721,11904981,11904827.0,openb_pod_list_gpuspec33.csv
openb-pod-4802,3152,5600,1,810,T4,BE,Failed,11904731,11905003,11904798.0,openb_pod_list_gpuspec33.csv
openb-pod-4803,3152,5600,1,810,,BE,Failed,11904769,11905022,11904803.0,openb_pod_list_gpuspec33.csv
openb-pod-4804,3152,5600,1,810,,BE,Failed,11904776,11905036,11904808.0,openb_pod_list_gpuspec33.csv
openb-pod-4805,3152,5600,1,810,,BE,Failed,11905093,11905536,11905093.0,openb_pod_list_gpuspec33.csv
openb-pod-4806,18708,64512,1,1000,,LS,Running,11905202,11906152,11905411.0,openb_pod_list_gpuspec33.csv
openb-pod-4807,4000,15258,1,320,,BE,Running,11905324,11905660,11905324.0,openb_pod_list_gpuspec33.csv
openb-pod-4808,3152,5600,1,810,,BE,Failed,11905346,11905684,11905346.0,openb_pod_list_gpuspec33.csv
openb-pod-4809,11300,49152,1,1000,,LS,Running,11905484,11906831,11905867.0,openb_pod_list_gpuspec33.csv
openb-pod-4810,3152,5600,1,810,,BE,Failed,11905503,11906055,11905573.0,openb_pod_list_gpuspec33.csv
openb-pod-4811,3152,5600,1,810,,BE,Failed,11906357,11907197,11906388.0,openb_pod_list_gpuspec33.csv
openb-pod-4812,3152,5600,1,810,,BE,Failed,11906372,11915491,11906372.0,openb_pod_list_gpuspec33.csv
openb-pod-4813,3152,5600,1,810,P100,BE,Failed,11906529,11907234,11906598.0,openb_pod_list_gpuspec33.csv
openb-pod-4814,3152,5600,1,810,,BE,Failed,11906578,11907162,11906608.0,openb_pod_list_gpuspec33.csv
openb-pod-4815,4000,22888,1,330,,BE,Running,11906648,11913040,11909614.0,openb_pod_list_gpuspec33.csv
openb-pod-4816,18708,64512,1,1000,,LS,Running,11906716,11907283,11906752.0,openb_pod_list_gpuspec33.csv
openb-pod-4817,12500,57344,0,0,,LS,Running,11906719,11907003,11906753.0,openb_pod_list_gpuspec33.csv
openb-pod-4818,18708,64512,1,1000,T4,LS,Running,11906809,11907311,11906810.0,openb_pod_list_gpuspec33.csv
openb-pod-4819,12500,57344,0,0,,LS,Running,11906844,11906965,11906848.0,openb_pod_list_gpuspec33.csv
openb-pod-4820,4000,22888,1,320,T4,BE,Running,11906854,11907471,11906854.0,openb_pod_list_gpuspec33.csv
openb-pod-4821,11300,49152,1,1000,,LS,Running,11907151,11909694,11907287.0,openb_pod_list_gpuspec33.csv
openb-pod-4822,11300,49152,1,1000,T4,LS,Running,11907156,11909625,11908524.0,openb_pod_list_gpuspec33.csv
openb-pod-4823,3152,5600,1,810,,BE,Failed,11907161,11907319,11907194.0,openb_pod_list_gpuspec33.csv
openb-pod-4824,4000,15258,1,320,,BE,Pending,11907180,11907205,,openb_pod_list_gpuspec33.csv
openb-pod-4825,8000,30517,0,0,,BE,Running,11907181,11911532,11907181.0,openb_pod_list_gpuspec33.csv
openb-pod-4826,11300,49152,1,1000,G2,LS,Running,11907199,11909557,11907269.0,openb_pod_list_gpuspec33.csv
openb-pod-4827,3152,5600,1,810,,BE,Failed,11907206,11908370,11907309.0,openb_pod_list_gpuspec33.csv
openb-pod-4828,3152,5600,1,810,,BE,Failed,11907219,11907273,11907253.0,openb_pod_list_gpuspec33.csv
openb-pod-4829,3152,5600,1,810,T4,BE,Failed,11907260,11908351,11907260.0,openb_pod_list_gpuspec33.csv
openb-pod-4830,11300,49152,1,1000,,LS,Running,11907359,11909156,11907637.0,openb_pod_list_gpuspec33.csv
openb-pod-4831,11300,49152,1,1000,,LS,Running,11907577,11907932,11907857.0,openb_pod_list_gpuspec33.csv
openb-pod-4832,6000,8192,1,460,,LS,Running,11907760,11913518,11907760.0,openb_pod_list_gpuspec33.csv
